"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Source","Quick Assist - Rename in file","Ctrl+2 R","Editing Java Source"
"Text Editing","End Line","End","Editing Text"
"Views","Show View (Error Log)","Shift+Alt+Q L","In Windows"
"Text Editing","Describe Command","Ctrl+H D","Editing Text"
"Text Editing","Query Replace","Alt+%","Editing Text"
"Text Editing","Universal Argument","Ctrl+Alt+4","Editing Text"
"Task","Show Tooltip Description","F4","In Tasks View"
"Text Editing","Mark Whole Buffer","Ctrl+X H","Editing Text"
"Text Editing","Universal Argument","Ctrl+0","Editing Text"
"Text Editing","Insert Register","Ctrl+X R G","Editing Text"
"Run/Debug","Toggle Breakpoint","Ctrl+X Ctrl+A Space","In Windows"
"Run/Debug","All Instances","Shift+Ctrl+N","In Windows"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Views","Show View (Outline)","Shift+Alt+Q O","In Windows"
"Text Editing","Back To Indent","Alt+M","Editing Text"
"Text Editing","Query Replace Regexp","Shift+Ctrl+Alt+5","Editing Text"
"Window","Activate Editor","F12","In Windows"
"Text Editing","Eval Expression","Shift+Alt+;","In Windows"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editor Breadcrumb Navigation"
"Edit","Backward Sexp","Ctrl+Alt+B","Editing Text"
"Source","Format","Esc Ctrl+F","Editing Ant Buildfiles"
"Text Editing","Universal Argument","Ctrl+Alt+3","Editing Text"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Window","Previous View","Shift+Ctrl+F7","In Windows"
"Text Editing","Line End","End","Editing Text"
"Edit","Toggle Insert Mode","Shift+Ctrl+Insert","Editing Text"
"Source","Format","Esc Ctrl+F","Editing Java Source"
"Source","Toggle Comment","Esc Ctrl+C","Editing Properties Files"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"Text Editing","Other Window","Ctrl+X O","In Windows"
"Edit","Forward Sexp","Shift+Ctrl+Alt+F","Editing Text"
"Source","Toggle Comment","Esc Ctrl+C","Editing Java Source"
"Text Editing","Forward Character","Right","Editing Text"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Navigate","Open Task","Ctrl+F12","In Windows"
"Text Editing","Apropos Command","Ctrl+H A","Editing Text"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing Java Source"
"Text Editing","Begin Buffer","Esc Shift+,","Editing Text"
"Task","Mark Task Incomplete","Shift+Alt+I","In Tasks View"
"Run/Debug","Step Return","F7","Debugging"
"Views","Show View (Task List)","Shift+Alt+Q K","In Windows"
"Text Editing","Down List","Ctrl+Alt+Down","Editing Text"
"Focused UI","Show Context Quick View","Shift+Ctrl+Alt+Right","In Windows"
"Text Editing","Copy to Register","Ctrl+X R S","Editing Text"
"Views","Show View (Breakpoints)","Shift+Alt+Q B","In Windows"
"Text Editing","Insert Line Above Current Line","Ctrl+O","Editing Text"
"Text Editing","Count Lines Buffer","Ctrl+X L","Editing Text"
"Text Editing","Collapse All","Shift+Ctrl+Numpad_Divide","Editing Text"
"Text Editing","Describe Key Briefly","Ctrl+H C","Editing Text"
"Views","Show View (Type Hierarchy)","Shift+Alt+Q T","In Windows"
"Window","Next Editor","Ctrl+Alt+L","In Windows"
"Navigate","Next Page","Alt+F7","In Windows"
"Refactor - Java","Extract Local Variable","Shift+Alt+L","In Windows"
"File","New menu","Shift+Alt+N","In Windows"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"Run/Debug","Debug Ant Build","Shift+Alt+D Q","In Windows"
"Focused UI","Make Landmark","Shift+Ctrl+Alt+Up","In Windows"
"Task","Mark Task Read and Go To Previous Unread Task","Shift+Alt+Up","In Tasks View"
"Text Editing","Backward Up List","Ctrl+Alt+Up","Editing Text"
"Source","Remove Block Comment","Shift+Ctrl+\","Editing Java Source"
"Views","Show View (Console)","Shift+Alt+Q C","In Windows"
"Text Editing","Universal Argument","Ctrl+9","Editing Text"
"Navigate","Previous","Ctrl+,","In Windows"
"gazonk.del","Delete Previous Word","Alt+Backspace","In Console View"
"Task","Mark Task Unread","Shift+Alt+U","In Tasks View"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Text Editing","Previous Line","Shift+Ctrl+P","Editing Text"
"Text Editing","Toggle Allow Edit","Ctrl+X Ctrl+Q","Editing Text"
"Spy","Plug-in Menu Spy","Shift+Alt+F2","In Dialogs and Windows"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Text Editing","Delete Horizontal Space","Alt+\","Editing Text"
"Text Editing","Universal Argument","Alt+8","Editing Text"
"Text Editing","Search in Project","Alt+S","Editing Text"
"Text Editing","Pop Tag Mark","Esc *","Editing Text"
"Edit","Backward Kill Sexp","Ctrl+Alt+Backspace","Editing Text"
"Text Editing","Forward Character","Shift+Ctrl+F","Editing Text"
"Text Editing","Transpose Lines","Ctrl+X Ctrl+T","Editing Text"
"Text Editing","Mark Paragraph","Alt+H","Editing Text"
"Text Editing","Universal Argument","Ctrl+Alt+2","Editing Text"
"Run/Debug","Step Into","Ctrl+X Ctrl+A Ctrl+S","Debugging"
"Edit","Delete","Delete","In Windows"
"File","Save","Ctrl+X Ctrl+S","In Windows"
"Text Editing","Describe Command","Ctrl+H F","Editing Text"
"Views","Show View (Javadoc)","Shift+Alt+Q J","In Windows"
"Edit","Select Enclosing Element","Shift+Alt+Up","Editing Java Source"
"Text Editing","Split Window Horizontally","Ctrl+X 2","In Windows"
"Text Editing","Increment Register","Ctrl+X R +","Editing Text"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Source","Toggle Comment","Alt+;","PDE editor"
"Text Editing","Select Line End","Shift+End","Editing Text"
"Run/Debug","Step Over","Ctrl+C Ctrl+N","Debugging"
"Window","Show Contributing Plug-in","Shift+Alt+F3","In Dialogs and Windows"
"Text Editing","Pop Tag Mark","Shift+Alt+8","Editing Text"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"File","Rename","F2","In Windows"
"Views","Show View","Shift+Alt+Q Q","In Windows"
"Window","Show System Menu","Alt+-","In Windows"
"Run/Debug","Debug OSGi Framework","Shift+Alt+D O","In Windows"
"Text Editing","Universal Argument","Alt+5","Editing Text"
"Run/Debug","Run to Line","Ctrl+X Ctrl+A Ctrl+U","Debugging"
"Source","Toggle Comment","Esc ;","PDE editor"
"Text Editing","Name Last Kbd Macro","Ctrl+X Ctrl+K N","Editing Text"
"Text Editing","Universal Argument","Alt+7","Editing Text"
"Navigate","Activate Task","Ctrl+F9","In Windows"
"Run/Debug","Debug JUnit Plug-in Test","Shift+Alt+D P","In Windows"
"Run/Debug","Step Return","Ctrl+X Ctrl+A Ctrl+F","Debugging"
"Text Editing","Delete to End of Line","Shift+Ctrl+Delete","Editing Text"
"Text Editing","Forward Paragraph","Alt+}","Editing Text"
"File","Properties","Alt+Enter","In Windows"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"File","Save All","Shift+Ctrl+S","In Windows"
"Navigate","Expand All","Shift+Ctrl+Numpad_Multiply","In Windows"
"Source","Quick Assist - Assign to field","Ctrl+2 F","Editing Java Source"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"Text Editing","Begin Line","Shift+Home","Editing Text"
"Text Editing","Pop Global Mark","Ctrl+X Ctrl+Space","Editing Text"
"Text Editing","Recenter Top Bottom","Ctrl+L","In Windows"
"File","Print","Ctrl+P","In Windows"
"Refactor - Java","Inline","Shift+Alt+I","In Windows"
"Edit","Find Previous","Shift+Ctrl+K","Editing Text"
"Text Editing","Undo+","Ctrl+X U","Editing Text"
"Task","Mark Task Complete","Shift+Alt+C","In Tasks View"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Run/Debug","Toggle Breakpoint","Shift+Ctrl+B","In Windows"
"Task","Mark Task Read","Shift+Alt+R","In Tasks Editor"
"Source","Organize Imports","Shift+Ctrl+O","In Windows"
"Text Editing","Kbd Macro Start","Ctrl+X (","In Windows"
"Text Editing","Mark Sexp","Ctrl+Alt+Space","Editing Text"
"Text Editing","Yank Pop","Esc Y","Editing Text"
"Run/Debug","Run Last Launched","Ctrl+F11","In Windows"
"Navigate","Open Type","Shift+Ctrl+T","In Windows"
"Run/Debug","Run Java Application","Shift+Alt+X J","In Windows"
"Run/Debug","Run JUnit Plug-in Test","Shift+Alt+X P","In Windows"
"Text Editing","Universal Argument","Ctrl+8","Editing Text"
"Spy","Plug-in Selection Spy","Shift+Alt+F1","In Dialogs and Windows"
"Text Editing","Backward Character","Shift+Ctrl+B","Editing Text"
